cellMarker,shortname
NTSR2,Astrocyte
PAQR7,Astrocyte
PLA2G7,Astrocyte
PLCD4,Astrocyte
S1PR1,Astrocyte
SDC4,Astrocyte
SLC27A1,Astrocyte
SLC39A12,Astrocyte
SLC4A4,Astrocyte
SLC6A1,Astrocyte
SLC6A11,Astrocyte
SLC7A10,Astrocyte
SLC7A11,Astrocyte
SOX9,Astrocyte
TLCD1,Astrocyte
TRIL,Astrocyte
TRIM9,Astrocyte
VEGFA,Astrocyte
ABI3,Microglial Cell
AIF1,Microglial Cell
C1QA,Microglial Cell
C1QB,Microglial Cell
C1QC,Microglial Cell
CCR5,Microglial Cell
CD14,Microglial Cell
CD37,Microglial Cell
CD53,Microglial Cell
CD68,Microglial Cell
CSF1R,Microglial Cell
CTSS,Microglial Cell
CX3CR1,Microglial Cell
CYTH4,Microglial Cell
FCER1G,Microglial Cell
FCGR3,Microglial Cell
FCRLS,Microglial Cell
GPR34,Microglial Cell
HEXB,Microglial Cell
HPGD,Microglial Cell
HPGDS,Microglial Cell
IL6RA,Microglial Cell
INPP5D,Microglial Cell
IRF8,Microglial Cell
ITGAM,Microglial Cell
LAIR1,Microglial Cell
LAPTM5,Microglial Cell
LPCAT2,Microglial Cell
LTC4S,Microglial Cell
LY86,Microglial Cell
MAFB,Microglial Cell
MPEG1,Microglial Cell
NCF1,Microglial Cell
OLFML3,Microglial Cell
P2RY12,Microglial Cell
P2RY13,Microglial Cell
PLD4,Microglial Cell
PTGS1,Microglial Cell
RNASE4,Microglial Cell
SELPLG,Microglial Cell
SIGLECH,Microglial Cell
SLCO2B1,Microglial Cell
TGFBR1,Microglial Cell
TMEM119,Microglial Cell
TREM2,Microglial Cell
TYROBP,Microglial Cell
UNC93B1,Microglial Cell
A930009A15RIK,Precursor Cell
BRINP1,Precursor Cell
C1QL1,Precursor Cell
CACNG4,Precursor Cell
CDO1,Precursor Cell
CNTN1,Precursor Cell
CSPG4,Precursor Cell
EMID1,Precursor Cell
ENPP2,Precursor Cell
EPN2,Precursor Cell
G0S2,Precursor Cell
GJC3,Precursor Cell
GPR17,Precursor Cell
GRIA3,Precursor Cell
GRIA4,Precursor Cell
LRRN1,Precursor Cell
MATN4,Precursor Cell
MEGF11,Precursor Cell
MYT1,Precursor Cell
NAV1,Precursor Cell
NEU4,Precursor Cell
NXPH1,Precursor Cell
OLIG1,Precursor Cell
OLIG2,Precursor Cell
PCDH15,Precursor Cell
PDGFRA,Precursor Cell
PHLDA1,Precursor Cell
PLLP,Precursor Cell
PPFIBP1,Precursor Cell
PTPRE,Precursor Cell
QPCT,Precursor Cell
RAP1GAP,Precursor Cell
RLBP1,Precursor Cell
SEMA3D,Precursor Cell
SH3BP4,Precursor Cell
SLC1A1,Precursor Cell
SLC35F1,Precursor Cell
SNX22,Precursor Cell
SOX10,Precursor Cell
SULF2,Precursor Cell
SUSD5,Precursor Cell
TMEM255B,Precursor Cell
TNR,Precursor Cell
TPM1,Precursor Cell
TRAF4,Precursor Cell
TSPAN6,Precursor Cell
VCAN,Precursor Cell
APOD,Oligodendrocyte
ASPA,Oligodendrocyte
CCP110,Oligodendrocyte
CLDN11,Oligodendrocyte
CNTN2,Oligodendrocyte
EFNB3,Oligodendrocyte
ENPP2,Oligodendrocyte
ERMN,Oligodendrocyte
EVI2A,Oligodendrocyte
FA2H,Oligodendrocyte
GALNT6,Oligodendrocyte
GJB1,Oligodendrocyte
GJC2,Oligodendrocyte
GJC3,Oligodendrocyte
GPR37,Oligodendrocyte
GRB14,Oligodendrocyte
GSN,Oligodendrocyte
HAPLN2,Oligodendrocyte
JOSD2,Oligodendrocyte
LGI3,Oligodendrocyte
LPAR1,Oligodendrocyte
MAG,Oligodendrocyte
MAL,Oligodendrocyte
MOG,Oligodendrocyte
NDRG1,Oligodendrocyte
OPALIN,Oligodendrocyte
PDLIM2,Oligodendrocyte
PEX5L,Oligodendrocyte
PLEKHH1,Oligodendrocyte
PLLP,Oligodendrocyte
PLS1,Oligodendrocyte
PPP1R14A,Oligodendrocyte
PTGDS,Oligodendrocyte
S1PR5,Oligodendrocyte
SEPTIN4,Oligodendrocyte
SLC12A2,Oligodendrocyte
SMCO3,Oligodendrocyte
STMN4,Oligodendrocyte
TMEFF2,Oligodendrocyte
TMEM125,Oligodendrocyte
TMEM151A,Oligodendrocyte
TMEM88B,Oligodendrocyte
TNFAIP6,Oligodendrocyte
TRF,Oligodendrocyte
TRIM59,Oligodendrocyte
TSPAN2,Oligodendrocyte
TTLL7,Oligodendrocyte
TUBB4A,Oligodendrocyte
UGT8A,Oligodendrocyte
ABCB1A,Endothelial Cell
ABCG2,Endothelial Cell
ACVRL1,Endothelial Cell
CAR4,Endothelial Cell
CDH5,Endothelial Cell
CLDN5,Endothelial Cell
CLIC5,Endothelial Cell
CTLA2A,Endothelial Cell
CXCL12,Endothelial Cell
EGFL7,Endothelial Cell
EMCN,Endothelial Cell
ESAM,Endothelial Cell
FLT1,Endothelial Cell
FN1,Endothelial Cell
FOXQ1,Endothelial Cell
HSPB1,Endothelial Cell
IFITM3,Endothelial Cell
IGFBP7,Endothelial Cell
ITM2A,Endothelial Cell
KANK3,Endothelial Cell
KITL,Endothelial Cell
KLF2,Endothelial Cell
LSR,Endothelial Cell
LY6A,Endothelial Cell
LY6C1,Endothelial Cell
LY6C2,Endothelial Cell
NOSTRIN,Endothelial Cell
PALMD,Endothelial Cell
PAQR5,Endothelial Cell
PCP4L1,Endothelial Cell
PECAM1,Endothelial Cell
PGLYRP1,Endothelial Cell
PLTP,Endothelial Cell
PODXL,Endothelial Cell
PTPRB,Endothelial Cell
RAMP2,Endothelial Cell
SEMA3C,Endothelial Cell
SGMS1,Endothelial Cell
SLC2A1,Endothelial Cell
SLC9A3R2,Endothelial Cell
SLCO1A4,Endothelial Cell
SOX17,Endothelial Cell
SRGN,Endothelial Cell
TEK,Endothelial Cell
TM4SF1,Endothelial Cell
WFDC1,Endothelial Cell
ACTA2,Mural Cell
ARHGAP29,Mural Cell
ASPN,Mural Cell
BGN,Mural Cell
CALD1,Mural Cell
COLEC12,Mural Cell
CP,Mural Cell
CRIP1,Mural Cell
ECM2,Mural Cell
FILIP1L,Mural Cell
GJA4,Mural Cell
GJC1,Mural Cell
GM13861,Mural Cell
HIGD1B,Mural Cell
HSPB1,Mural Cell
IFITM1,Mural Cell
IFITM2,Mural Cell
IFITM3,Mural Cell
IGF2,Mural Cell
IGFBP7,Mural Cell
KCNJ8,Mural Cell
LMOD1,Mural Cell
MAP3K7CL,Mural Cell
MGP,Mural Cell
MYH11,Mural Cell
MYL9,Mural Cell
MYLK,Mural Cell
MYO1B,Mural Cell
NBL1,Mural Cell
NDUFA4L2,Mural Cell
P2RY14,Mural Cell
PCOLCE,Mural Cell
PDGFRB,Mural Cell
PERP,Mural Cell
PHLDB2,Mural Cell
PLN,Mural Cell
RBPMS,Mural Cell
RGS4,Mural Cell
RGS5,Mural Cell
S1PR3,Mural Cell
SERPING1,Mural Cell
SLC19A1,Mural Cell
SLC38A11,Mural Cell
SLC6A20A,Mural Cell
TAGLN,Mural Cell
TM4SF1,Mural Cell
TPM2,Mural Cell
VTN,Mural Cell
ZIC1,Mural Cell
ACVR2A,Neuron
FGF10,Neuron
FGF3,Neuron
FGF8,Neuron
HES5,Neuron
NEUROG1,Neuron
NOTCH1,Neuron
SIX1,Neuron
FBXO2,Otocyst Cell
FZD8,Otocyst Cell
GLI1,Otocyst Cell
HES1,Otocyst Cell
HEY2,Otocyst Cell
LFNG,Otocyst Cell
NTF3,Otocyst Cell
OTOL1,Otocyst Cell
OTX1,Otocyst Cell
OTX2,Otocyst Cell
PAX2,Otocyst Cell
SOX2,Otocyst Cell
TRPM3,Otocyst Cell
EYA2,Neuron
FZD10,Neuron
ISL1,Neuron
JAG2,Neuron
NEUROD1,Neuron
NEUROG2,Neuron
BMP4,Otocyst Cell
DLX5,Otocyst Cell
EMX2,Otocyst Cell
FGFR3,Otocyst Cell
FST,Otocyst Cell
GATA2,Otocyst Cell
GBX2,Otocyst Cell
INHBA,Otocyst Cell
OC90,Otocyst Cell
WNT2B,Otocyst Cell
WNT7A,Otocyst Cell
WNT7B,Otocyst Cell
CCND2,Neuron
CRMP1,Neuron
DBN1,Neuron
DCHS1,Neuron
DLX1,Neuron
DLX2,Neuron
DLX5,Neuron
DLX6,Neuron
FOXC1,Neuron
FXYD6,Neuron
OLFM1,Neuron
PFN2,Neuron
POU3F3,Neuron
SOX5,Neuron
CD34,Endothelial Cell
ENG,Endothelial Cell
FLT1,Endothelial Cell
FN1,Endothelial Cell
KDR,Endothelial Cell
TEK,Endothelial Cell
ASPA,Otocyst Cell
CLDN11,Otocyst Cell
GAL3ST1,Otocyst Cell
KCNA1,Otocyst Cell
KCNA6,Otocyst Cell
MAG,Otocyst Cell
MOBP,Otocyst Cell
MOG,Otocyst Cell
OLIG1,Otocyst Cell
SOX10,Otocyst Cell
CPNE5,Chandelier Cell
DUSP14,Chandelier Cell
ERRFI1,Chandelier Cell
FAM163B,Chandelier Cell
FGF13,Chandelier Cell
GDF10,Chandelier Cell
GPR12,Chandelier Cell
HAPLN1,Chandelier Cell
HS3ST4,Chandelier Cell
IBSP,Chandelier Cell
IER2,Chandelier Cell
KRT12,Chandelier Cell
L2HGDH,Chandelier Cell
MCTP2,Chandelier Cell
NANP,Chandelier Cell
NECAB2,Chandelier Cell
PDE3A,Chandelier Cell
PDLIM3,Chandelier Cell
PELI1,Chandelier Cell
PTHLH,Chandelier Cell
PYGM,Chandelier Cell
RAMP3,Chandelier Cell
RASGRP1,Chandelier Cell
TGFB3,Chandelier Cell
THBS1,Chandelier Cell
TRPS1,Chandelier Cell
UNC5B,Chandelier Cell
VCAN,Chandelier Cell
CARTPT,Basket Cell
COX6A2,Basket Cell
EIF5A2,Basket Cell
ESRRG,Basket Cell
ETV6,Basket Cell
FAM43A,Basket Cell
HADHB,Basket Cell
HAPLN4,Basket Cell
IQGAP2,Basket Cell
KCNJ9,Basket Cell
MITF,Basket Cell
MOXD1,Basket Cell
NEFH,Basket Cell
NOG,Basket Cell
NXPH2,Basket Cell
PRSS23,Basket Cell
SLIT2,Basket Cell
SLIT3,Basket Cell
ST6GALNAC5,Basket Cell
SYT2,Basket Cell
TAC1,Basket Cell
VAMP1,Basket Cell
KCNMB4,Neuron
1700086L19RIK,Neuron
A930011G23RIK,Neuron
ADAMTS16,Neuron
ARHGDIG,Neuron
ARHGEF15,Neuron
ARL4A,Neuron
ASS1,Neuron
B2M,Neuron
BACE2,Neuron
CARHSP1,Neuron
CHODL,Neuron
CLIC1,Neuron
CNIH3,Neuron
COL11A1,Neuron
CORT,Neuron
CTXN2,Neuron
D430019H16RIK,Neuron
DBPHT2,Neuron
DPY19L1,Neuron
EGFL7,Neuron
FNDC1,Neuron
GABRA2,Neuron
GABRG1,Neuron
GPR88,Neuron
HEY1,Neuron
HTR1A,Neuron
KCNMB4,Neuron
NDRG1,Neuron
NDST4,Neuron
NNAT,Neuron
NOS1,Neuron
NPTX1,Neuron
NTN1,Neuron
OPN3,Neuron
OXTR,Neuron
PATL2,Neuron
PNMA3,Neuron
POU3F2,Neuron
PREX1,Neuron
PTN,Neuron
PTPRU,Neuron
RASGEF1B,Neuron
RBP1,Neuron
S100A10,Neuron
SC5D,Neuron
SFRP1,Neuron
SLC5A5,Neuron
SLC5A7,Neuron
SLC7A3,Neuron
SST,Neuron
ST6GALNAC2,Neuron
SV2B,Neuron
TPPP3,Neuron
TSPAN17,Neuron
WNT2,Neuron
WWC1,Neuron
ANO3,Martinotti Cell
ATP2B4,Martinotti Cell
CAPN5,Martinotti Cell
CDH22,Martinotti Cell
CDH7,Martinotti Cell
FOXRED2,Martinotti Cell
HDAC4,Martinotti Cell
HOPX,Martinotti Cell
HPSE,Martinotti Cell
IL34,Martinotti Cell
KCNK13,Martinotti Cell
LAMA4,Martinotti Cell
LIPA,Martinotti Cell
RASL11A,Martinotti Cell
RELN,Martinotti Cell
SGCD,Martinotti Cell
SIRT4,Martinotti Cell
SLC30A3,Martinotti Cell
SNX8,Martinotti Cell
TIMP3,Martinotti Cell
UNC13C,Martinotti Cell
ZDHHC18,Martinotti Cell
CRACDL,Interneuron-selective Cell
BCAR3,Interneuron-selective Cell
CELSR3,Interneuron-selective Cell
CHRNA4,Interneuron-selective Cell
CPOX,Interneuron-selective Cell
DLGAP3,Interneuron-selective Cell
DOK7,Interneuron-selective Cell
EGFR,Interneuron-selective Cell
KCNH3,Interneuron-selective Cell
LRRC3B,Interneuron-selective Cell
MIAT,Interneuron-selective Cell
NPY2R,Interneuron-selective Cell
NR2E1,Interneuron-selective Cell
OSTF1,Interneuron-selective Cell
PTMS,Interneuron-selective Cell
RASD2,Interneuron-selective Cell
RGS16,Interneuron-selective Cell
RPRM,Interneuron-selective Cell
SEMA5B,Interneuron-selective Cell
SLC12A4,Interneuron-selective Cell
ST3GAL1,Interneuron-selective Cell
TPBG,Interneuron-selective Cell
UNC5A,Interneuron-selective Cell
WSCD2,Interneuron-selective Cell
CADPS2,Basket Cell
CCND3,Basket Cell
CNR1,Basket Cell
COL15A1,Basket Cell
CRYAB,Basket Cell
CXCL14,Basket Cell
EGLN3,Basket Cell
EPS8,Basket Cell
FAM163A,Basket Cell
IL4RA,Basket Cell
JAM2,Basket Cell
KCNF1,Basket Cell
LARP1B,Basket Cell
LDB2,Basket Cell
MXD1,Basket Cell
PDE7B,Basket Cell
PNOC,Basket Cell
RAMP1,Basket Cell
SCYL2,Basket Cell
SH3BP4,Basket Cell
SLC25A29,Basket Cell
SNTB1,Basket Cell
SP8,Basket Cell
TAC2,Basket Cell
UNK,Basket Cell
USP53,Basket Cell
ACTA2,Ependymal Cell
CCDC153,Ependymal Cell
CLU,Ependymal Cell
FOXJ1,Ependymal Cell
GJA1,Ependymal Cell
MIA,Ependymal Cell
RARRES2,Ependymal Cell
S100B,Ependymal Cell
SOX9,Ependymal Cell
TM4SF1,Ependymal Cell
TMEM212,Ependymal Cell
ALDOC,Stem Cell
ATP1A2,Stem Cell
CLU,Stem Cell
GJA1,Stem Cell
HTRA1,Stem Cell
MFGE8,Stem Cell
NTM,Stem Cell
NTSR2,Stem Cell
S100B,Stem Cell
SOX9,Stem Cell
CSF3,Stem Cell
FBXO2,Stem Cell
FXYD1,Stem Cell
GFAP,Stem Cell
ID3,Stem Cell
THBS4,Stem Cell
PCLAF,Stem Cell
CDK1,Stem Cell
CENPF,Stem Cell
H2AC24,Stem Cell
HMGB2,Stem Cell
TOP2A,Stem Cell
BTG1,Neuron
CELF4,Neuron
DCX,Neuron
MEIS2,Neuron
STMN2,Neuron
MBP,Oligodendrocyte
OLIG1,Oligodendrocyte
PLP1,Oligodendrocyte
PTGDS,Oligodendrocyte
SOX10,Oligodendrocyte
C1QA,Microglial Cell
C1QB,Microglial Cell
C1QC,Microglial Cell
CTSS,Microglial Cell
CX3CR1,Microglial Cell
0610030E20RIK,Neuron
1110017D15RIK,Neuron
1700025G04RIK,Neuron
1700030K09RIK,Neuron
1700066M21RIK,Neuron
2310040G24RIK,Neuron
2410004B18RIK,Neuron
SPRING1,Neuron
4930506C21RIK,Neuron
4931428F04RIK,Neuron
5031439G07RIK,Neuron
6330409D20RIK,Neuron
6430548M08RIK,Neuron
9530082P21RIK,Neuron
A230056P14RIK,Neuron
A530058N18RIK,Neuron
A930006K02RIK,Neuron
AAR2,Neuron
AARS2,Neuron
ABCA2,Neuron
ABCA3,Neuron
ABCB7,Neuron
ABCC8,Neuron
ABCD2,Neuron
ABCG4,Neuron
ABT1,Neuron
ACAA1A,Neuron
ACP1,Neuron
ADAMTS3,Neuron
ADAMTS5,Neuron
ADAP1,Neuron
ADD2,Neuron
ADD3,Neuron
ADPRH,Neuron
ADRA1D,Neuron
ADSSL1,Neuron
AF357359,Neuron
AFAP1L1,Neuron
AGL,Neuron
AGTPBP1,Neuron
AHCYL2,Neuron
AI593442,Neuron
AI854703,Neuron
AIFM3,Neuron
AK1,Neuron
ALDH1A3,Neuron
ALDOC,Neuron
AMER2,Neuron
AMIGO3,Neuron
AMPH,Neuron
ANGEL1,Neuron
ANK1,Neuron
ANK3,Neuron
ANKDD1B,Neuron
ANKRD33B,Neuron
ANKRD34A,Neuron
ANKRD34B,Neuron
ANKRD55,Neuron
ANKRD9,Neuron
ANO4,Neuron
AP5S1,Neuron
APBB2,Neuron
APC,Neuron
APH1A,Neuron
APOO,Neuron
APTX,Neuron
ARFGEF1,Neuron
ARHGAP31,Neuron
ARHGEF17,Neuron
ARHGEF6,Neuron
ARHGEF9,Neuron
ARL4C,Neuron
ARL6IP4,Neuron
ARL8A,Neuron
ARMC1,Neuron
ASAH2,Neuron
ASB13,Neuron
ASB8,Neuron
ATF4,Neuron
ATF6B,Neuron
ATG101,Neuron
ATG16L1,Neuron
ATG2B,Neuron
ATG4D,Neuron
ATM,Neuron
ATP13A2,Neuron
ATP2B3,Neuron
ATP6V1G2,Neuron
ATP8B2,Neuron
ATXN1,Neuron
ATXN2,Neuron
ATXN7L3,Neuron
AU022252,Neuron
AUH,Neuron
AUTS2,Neuron
AVPI1,Neuron
AZI2,Neuron
AZIN1,Neuron
B3GALT1,Neuron
B3GALT2,Neuron
B3GAT1,Neuron
B3GNT2,Neuron
B4GALNT1,Neuron
B4GALT6,Neuron
B4GALT7,Neuron
B9D2,Neuron
BCAN,Neuron
BCAR3,Neuron
BCAT1,Neuron
BCKDHB,Neuron
BEND6,Neuron
BEST3,Neuron
BFAR,Neuron
BHLHE40,Neuron
BIN1,Neuron
BOLA3,Neuron
BORCS6,Neuron
BRMS1L,Neuron
BRSK1,Neuron
BRSK2,Neuron
BTG1,Neuron
CRACD,Neuron
CABLES2,Neuron
CABP1,Neuron
CACNG2,Neuron
CADM1,Neuron
CALB1,Neuron
CALB2,Neuron
CAMK1D,Neuron
CAMK2B,Neuron
CAMK2G,Neuron
CAMSAP1,Neuron
CAP2,Neuron
CAPN2,Neuron
CAR12,Neuron
CAR2,Neuron
CAR7,Neuron
CARS,Neuron
CASKIN1,Neuron
CAST,Neuron
CASZ1,Neuron
CAT,Neuron
CC2D2A,Neuron
CCBE1,Neuron
CCDC136,Neuron
KASH5,Neuron
CCDC184,Neuron
CCDC28A,Neuron
CCDC88A,Neuron
CCDC90B,Neuron
CD302,Neuron
CD59A,Neuron
CDADC1,Neuron
CDC37L1,Neuron
CDC42EP3,Neuron
CDH18,Neuron
CDH9,Neuron
CDK14,Neuron
CDR1,Neuron
CDR2L,Neuron
CDS1,Neuron
CEBPZOS,Neuron
CELSR2,Neuron
CENPQ,Neuron
CEP57,Neuron
CEP83,Neuron
CEP97,Neuron
CEPT1,Neuron
CERK,Neuron
CETN2,Neuron
CFAP161,Neuron
CHCHD10,Neuron
CHCHD3,Neuron
CHCHD4,Neuron
CHCHD7,Neuron
CHMP6,Neuron
CHN1,Neuron
CHORDC1,Neuron
CHRAC1,Neuron
CHST10,Neuron
CHURC1,Neuron
CIART,Neuron
CIB2,Neuron
CITED2,Neuron
CKMT1,Neuron
CKMT2,Neuron
CLEC2L,Neuron
CLGN,Neuron
CLIP4,Neuron
CLMP,Neuron
CLSTN3,Neuron
CLU,Neuron
CMC1,Neuron
CMC2,Neuron
CMPK2,Neuron
CNNM1,Neuron
CNNM2,Neuron
CNPPD1,Neuron
CNTN5,Neuron
CNTNAP1,Neuron
CNTNAP4,Neuron
COL19A1,Neuron
COLGALT2,Neuron
COMMD2,Neuron
COMMD9,Neuron
COPB2,Neuron
COPRS,Neuron
COPS7B,Neuron
CORO6,Neuron
COTL1,Neuron
COX10,Neuron
COX11,Neuron
COX8B,Neuron
CPEB3,Neuron
CPNE9,Neuron
CPT1A,Neuron
CPT1B,Neuron
CPTP,Neuron
CRBN,Neuron
CRLF3,Neuron
CROT,Neuron
CS,Neuron
CSE1L,Neuron
CSL,Neuron
CSMD1,Neuron
CSMD2,Neuron
CST6,Neuron
CSTF2,Neuron
CTBP1,Neuron
CUL3,Neuron
CX3CL1,Neuron
CYFIP2,Neuron
CYGB,Neuron
D17H6S53E,Neuron
DBN1,Neuron
DBNDD1,Neuron
DCAF10,Neuron
DCBLD2,Neuron
DCHS1,Neuron
DCLK2,Neuron
DCP2,Neuron
DCUN1D2,Neuron
DDAH1,Neuron
DDIT3,Neuron
DDX1,Neuron
DDX19B,Neuron
DDX25,Neuron
DDX27,Neuron
DDX41,Neuron
DEDD,Neuron
DEF6,Neuron
DENR,Neuron
DEXI,Neuron
DFFA,Neuron
DHDDS,Neuron
DHPS,Neuron
DHRS1,Neuron
DHRS11,Neuron
DHX16,Neuron
DIP2A,Neuron
DIRAS1,Neuron
DKC1,Neuron
DLAT,Neuron
DLD,Neuron
DLGAP3,Neuron
DLST,Neuron
DNAJB14,Neuron
DNAJC13,Neuron
DNAJC27,Neuron
DNAJC28,Neuron
DOCK9,Neuron
DSCAM,Neuron
DTD2,Neuron
DTNBP1,Neuron
DUSP15,Neuron
DUSP19,Neuron
DUSP27,Neuron
DUSP28,Neuron
DYNC2H1,Neuron
DZIP1,Neuron
E130309D02RIK,Neuron
E2F6,Neuron
EBAG9,Neuron
EFEMP1,Neuron
EFR3B,Neuron
EGLN2,Neuron
EIF1AD,Neuron
EIF2AK4,Neuron
EIF2B4,Neuron
EIF5A2,Neuron
ELMO1,Neuron
ELOVL4,Neuron
ENAH,Neuron
ENDOD1,Neuron
ENO4,Neuron
ENPP4,Neuron
ENTPD3,Neuron
ENTPD6,Neuron
EPB41L1,Neuron
EPB41L3,Neuron
EPDR1,Neuron
EPHA4,Neuron
EPN3,Neuron
ERAL1,Neuron
ERICH3,Neuron
ERN1,Neuron
ESRRG,Neuron
ESYT1,Neuron
ETF1,Neuron
ETHE1,Neuron
EXOC5,Neuron
EXT2,Neuron
EXTL2,Neuron
F8A,Neuron
FA2H,Neuron
FAAH,Neuron
FAIM2,Neuron
FAM126B,Neuron
FAM13B,Neuron
FAM155A,Neuron
FAM184B,Neuron
FAM189A2,Neuron
FAM20C,Neuron
FAM234B,Neuron
FAM53B,Neuron
TLCD3B,Neuron
FAM78A,Neuron
FAM98C,Neuron
FARP2,Neuron
FAT1,Neuron
FAT3,Neuron
FBXO31,Neuron
FBXO32,Neuron
FBXO33,Neuron
FBXO34,Neuron
FBXO40,Neuron
FBXO41,Neuron
FBXW7,Neuron
FEZ2,Neuron
FGF18,Neuron
FGF9,Neuron
CEP43,Neuron
FH1,Neuron
FHDC1,Neuron
FHOD3,Neuron
FIGN,Neuron
FKBP1B,Neuron
FLT3,Neuron
FLYWCH1,Neuron
FN3K,Neuron
FNDC4,Neuron
FRMD4B,Neuron
FRMPD1,Neuron
FSTL1,Neuron
FUCA2,Neuron
FUNDC2,Neuron
FUOM,Neuron
FUT8,Neuron
G0S2,Neuron
GADD45B,Neuron
GALNT9,Neuron
GART,Neuron
GBE1,Neuron
GCNT4,Neuron
GCSH,Neuron
GDPD1,Neuron
GFOD1,Neuron
GGA3,Neuron
GIPC1,Neuron
GLRX2,Neuron
GLRX5,Neuron
GLS,Neuron
GLS2,Neuron
GLUL,Neuron
GM13629,Neuron
GM19461,Neuron
GM5113,Neuron
GM9866,Neuron
GMPR,Neuron
GNAL,Neuron
GNAZ,Neuron
GNE,Neuron
GNG7,Neuron
GPAT4,Neuron
GPATCH1,Neuron
GPCPD1,Neuron
GPD1L,Neuron
GPR137B-PS,Neuron
GPR22,Neuron
GPRC5B,Neuron
GRIA3,Neuron
GRIA4,Neuron
GRIN1,Neuron
GRM7,Neuron
GRSF1,Neuron
GTF2H4,Neuron
GTPBP3,Neuron
GYG,Neuron
GZF1,Neuron
HAGHL,Neuron
HAPLN1,Neuron
HAPLN4,Neuron
HCN1,Neuron
HCN2,Neuron
HDAC2,Neuron
HDLBP,Neuron
HEATR5A,Neuron
HEBP2,Neuron
HECW1,Neuron
HERC3,Neuron
HERPUD1,Neuron
HHATL,Neuron
HIF1AN,Neuron
HIPK2,Neuron
HIVEP2,Neuron
HLF,Neuron
HMG20B,Neuron
HMGA1,Neuron
HMGB3,Neuron
HSD17B7,Neuron
HSF4,Neuron
HSPA4L,Neuron
HSPH1,Neuron
IFFO1,Neuron
IFFO2,Neuron
IFNGR2,Neuron
IFRD1,Neuron
IGSF3,Neuron
INPP1,Neuron
INPP5E,Neuron
INPP5F,Neuron
INPP5J,Neuron
IPO11,Neuron
IPPK,Neuron
IPW,Neuron
IQGAP1,Neuron
IQSEC2,Neuron
IRS2,Neuron
ISCA2,Neuron
ISL2,Neuron
ISY1,Neuron
ITFG2,Neuron
ITPKC,Neuron
JAK1,Neuron
JSRP1,Neuron
JTB,Neuron
JUN,Neuron
KALRN,Neuron
KANK1,Neuron
KANK4,Neuron
KAT6A,Neuron
KBTBD2,Neuron
KCNA1,Neuron
KCNA2,Neuron
KCNAB2,Neuron
KCNAB3,Neuron
KCNC1,Neuron
KCNC3,Neuron
KCNH5,Neuron
KCNIP1,Neuron
KCNIP2,Neuron
KCNIP3,Neuron
KCNK1,Neuron
KCNK10,Neuron
KCNMA1,Neuron
KCNN2,Neuron
KCNS1,Neuron
KCNS3,Neuron
KCTD1,Neuron
KCTD17,Neuron
KCTD7,Neuron
KCTD8,Neuron
KDM7A,Neuron
KIF3A,Neuron
KIF5C,Neuron
KIFC2,Neuron
KLC2,Neuron
KLF9,Neuron
KLHDC8A,Neuron
KLHL32,Neuron
KNDC1,Neuron
KPNA6,Neuron
KRT222,Neuron
LARP1B,Neuron
LATS1,Neuron
LDB3,Neuron
LGI2,Neuron
LGI3,Neuron
LGR5,Neuron
LHFP,Neuron
LHFPL3,Neuron
LHFPL4,Neuron
LIMK1,Neuron
LINGO1,Neuron
LLPH,Neuron
LMBR1,Neuron
LMCD1,Neuron
