cellMarker,shortname
DAAM2,Podocyte
DACH1,Podocyte
DAG1,Podocyte
DCDC2A,Podocyte
DDN,Podocyte
DEGS1,Podocyte
DERL2,Podocyte
DNASE1L1,Podocyte
DOCK5,Podocyte
DPP4,Podocyte
DPYSL2,Podocyte
EFNB1,Podocyte
EHD2,Podocyte
EIF3M,Podocyte
EMC2,Podocyte
EMC7,Podocyte
EML2,Podocyte
ENPEP,Podocyte
EPHX1,Podocyte
FAT1,Podocyte
FGFBP1,Podocyte
FGFR1,Podocyte
FNBP1L,Podocyte
FNDC3B,Podocyte
FOXC1,Podocyte
FOXC2,Podocyte
FOXD1,Podocyte
FXYD6,Podocyte
FZD2,Podocyte
GADD45A,Podocyte
GALNT10,Podocyte
GAS1,Podocyte
GGT5,Podocyte
GINM1,Podocyte
GLO1,Podocyte
GLOD4,Podocyte
GM266,Podocyte
GOLIM4,Podocyte
GPC1,Podocyte
GPX8,Podocyte
GSN,Podocyte
GSTA4,Podocyte
H2-Q6,Podocyte
H2-Q7,Podocyte
H2BC4,Podocyte
HOXC6,Podocyte
HOXC8,Podocyte
HS3ST6,Podocyte
HSPB8,Podocyte
HTRA1,Podocyte
IGFBP7,Podocyte
ILDR2,Podocyte
IQGAP2,Podocyte
ITGA3,Podocyte
ITGB1,Podocyte
ITGB5,Podocyte
ITM2B,Podocyte
JTB,Podocyte
KANK1,Podocyte
KCNQ1OT1,Podocyte
KRCC1,Podocyte
LAGE3,Podocyte
LAMB2,Podocyte
LAPTM4A,Podocyte
LOXL2,Podocyte
LPIN2,Podocyte
LRRC49,Podocyte
LRRFIP1,Podocyte
MAFB,Podocyte
MAGI2,Podocyte
MAN1A2,Podocyte
MANBAL,Podocyte
MAPT,Podocyte
MARVELD1,Podocyte
MAST4,Podocyte
MED24,Podocyte
MERTK,Podocyte
METRNL,Podocyte
MFGE8,Podocyte
MGAT5,Podocyte
MICU1,Podocyte
MMP23,Podocyte
MOB2,Podocyte
MOCS2,Podocyte
MPP5,Podocyte
MRC2,Podocyte
MTSS1,Podocyte
MVP,Podocyte
MXRA7,Podocyte
MYL12A,Podocyte
MYL6,Podocyte
MYLK,Podocyte
MYO1D,Podocyte
MYO1E,Podocyte
MYOF,Podocyte
MYOM2,Podocyte
MYZAP,Podocyte
NAB2,Podocyte
NBL1,Podocyte
NEBL,Podocyte
NENF,Podocyte
NES,Podocyte
NPEPL1,Podocyte
NPHS1,Podocyte
NPHS2,Podocyte
NPR1,Podocyte
NPR3,Podocyte
NRADD,Podocyte
NSF,Podocyte
NTRK3,Podocyte
NUPR1,Podocyte
NXPH3,Podocyte
OPTN,Podocyte
ORMDL2,Podocyte
P3H2,Podocyte
PAK1,Podocyte
PARD3B,Podocyte
PARP4,Podocyte
PARVA,Podocyte
PBX2,Podocyte
PCNP,Podocyte
PCOLCE,Podocyte
PDE10A,Podocyte
PDE4B,Podocyte
PDLIM2,Podocyte
PDPN,Podocyte
PDRG1,Podocyte
PER1,Podocyte
PHACTR4,Podocyte
PKDCC,Podocyte
PLCE1,Podocyte
PLEKHG1,Podocyte
PLEKHH2,Podocyte
PLOD2,Podocyte
PLXDC2,Podocyte
PODXL,Podocyte
PROS1,Podocyte
PSMB5,Podocyte
PSMC3,Podocyte
PSMC5,Podocyte
PTH1R,Podocyte
PTPN14,Podocyte
PTPRD,Podocyte
PTPRO,Podocyte
PTTG1IP,Podocyte
PXDC1,Podocyte
R3HDML,Podocyte
RAB3B,Podocyte
RABAC1,Podocyte
RARRES1,Podocyte
RASL11A,Podocyte
RBPMS,Podocyte
RHPN1,Podocyte
RILPL1,Podocyte
ROBO2,Podocyte
RPS19BP1,Podocyte
SBDS,Podocyte
SDC2,Podocyte
